id;weight;ingredient_id;recipe_id
247;3;21;31
248;1000;7;31
249;3;48;31
250;3;34;31
251;5;8;31
252;20;63;31
253;70;4;31
254;150;3;31
255;500;53;31
256;400;2;32
257;200;3;32
258;10;8;32
259;60;4;32
260;1800;7;32
261;500;64;32
262;40;65;32
263;40;21;32
264;10;48;32
265;400;10;32
266;4;51;32
267;20;6;32
268;5;47;32
269;150;3;33
270;25;3;33
271;75;4;33
272;8;11;33
273;100;66;33
274;34;8;33
275;2;21;33
276;2000;7;33
277;3;21;34
278;1;51;34
279;10;67;34
280;3;21;34
281;40;11;34
282;300;4;34
283;5;48;34
284;3000;7;34
285;500;64;34
286;10;68;34
287;100;4;35
288;50;21;35
289;200;10;35
290;150;50;35
291;100;5;35
292;1000;7;35
293;5;48;35
294;10;8;35
295;600;69;36
296;1200;7;36
297;100;4;36
298;2;21;36
299;5;48;36
300;2;51;36
301;50;14;36
302;230;70;37
303;700;2;37
304;500;64;37
305;2500;7;37
306;100;3;37
307;100;4;37
308;5;51;37
309;10;48;37
310;10;14;37
311;35;8;37
312;60;4;38
313;700;71;38
314;500;2;38
315;100;3;38
316;1500;7;38
317;20;48;38
318;200;72;39
319;500;0;39
320;500;7;39
321;100;29;39
322;50;8;39
323;300;4;39
324;100;3;40
325;30;8;40
326;50;6;40
327;150;4;40
328;450;2;40
329;50;20;40
330;2000;7;40
331;300;73;40
332;50;74;40
333;2000;7;41
334;200;3;41
335;200;2;41
336;300;75;41
337;400;7;42
338;5;14;42
339;20;3;42
340;50;19;42
341;15;4;42
342;100;2;42
343;200;76;42
344;2000;7;43
345;400;75;43
346;25;4;44
347;250;7;44
348;80;3;44
349;10;52;44
350;5;48;44
351;40;65;44
352;200;32;44
353;20;8;44
354;400;9;45
355;200;26;45
356;400;19;45
357;200;77;45
358;100;4;45
359;50;14;45
360;5;48;45
361;2;21;45
362;500;25;45
363;500;7;45
364;600;2;45
365;5;48;46
366;50;8;46
367;80;65;46
368;75;4;46
369;800;7;46
370;400;64;46
371;500;10;47
372;60;65;47
373;380;78;47
374;50;39;47
375;60;8;47
376;70;3;47
377;300;19;47
378;70;4;47
379;350;64;47
380;5000;7;47
381;3000;7;48
382;60;8;48
383;15;6;48
