id;lemmaword;meat;milky;green;fish;seafood;gluten;flour;pig;mushroom;vegan
220;стружка;-;-;-;-;-;-;-;-;-;+
221;аджик;-;-;-;-;-;-;-;-;-;+
222;кус;-;-;-;-;-;-;-;-;-;+
223;эссенция;-;-;-;-;-;-;-;-;-;+
224;устрица;-;-;-;-;+;-;-;-;-;-
225;эстрагон;-;-;-;-;-;-;-;-;-;+
226;легкий;+;-;-;-;-;-;-;-;-;-
227;сердечко;+;-;-;-;-;-;-;-;-;-
228;фетучиня;-;-;-;-;-;+;+;-;-;-
229;почка;+;-;-;-;-;-;-;-;-;-
230;анчоус;-;-;-;+;-;-;-;-;-;-
231;ряженка;-;+;-;-;-;-;-;-;-;-
232;рулек;+;-;-;-;-;-;-;+;-;-
233;вешенка;-;-;-;-;-;-;-;-;+;+
234;фасоль;-;-;-;-;-;-;-;-;-;+
235;лепёшка;-;-;-;-;-;-;-;-;-;+
236;кус-кус;-;-;-;-;-;+;-;-;-;+
237;желатина;+;-;-;-;-;-;-;-;-;-
238;артишок;-;-;-;-;-;-;-;-;-;+
239;мята;-;-;+;-;-;-;-;-;-;+
240;булгура;-;-;-;-;-;+;-;-;-;+
241;паппарделла;-;-;-;-;-;+;+;-;-;+
242;нут;-;-;-;-;-;-;-;-;-;+
243;клюква;-;-;-;-;-;-;-;-;-;+
244;тилапия;-;-;-;+;-;-;-;-;-;-
245;херес;-;-;-;-;-;-;-;-;-;+
246;финик;-;-;-;-;-;-;-;-;-;+
247;шея;+;-;-;-;-;-;-;+;-;-
248;багет;-;-;-;-;-;+;+;-;-;-
249;конкильони;-;-;-;-;-;+;+;-;-;-
250;сосиска;+;-;-;-;-;+;-;+;-;-
251;мандарин;-;-;-;-;-;-;-;-;-;+
252;кофе;-;-;-;-;-;-;-;-;-;+
253;смородина;-;-;-;-;-;-;-;-;-;+
254;арахис;-;-;-;-;-;-;-;-;-;+
255;магг;-;-;-;-;-;-;-;-;-;+
256;савушкина;-;+;-;-;-;-;-;-;-;-
257;хлебец;-;-;-;-;-;+;+;-;-;+
258;рыжик;-;-;-;-;-;-;-;-;+;+
259;килек;-;-;-;+;-;-;-;-;-;-
260;кетчуп;-;-;-;-;-;+;-;-;-;+
261;каперс;-;-;-;-;-;-;-;-;-;+
262;лай;-;-;-;-;-;-;-;-;-;+
263;грейпфереть;-;-;-;-;-;-;-;-;-;+
264;палочка;-;-;-;+;-;-;-;-;-;-
265;икра;-;-;-;-;+;-;-;-;-;-
266;порошок;-;-;-;-;-;-;-;-;-;+
267;наршараб;-;-;-;-;-;-;-;-;-;+
268;агар;-;-;-;-;-;-;-;-;-;+
269;слоеное;-;-;-;-;-;-;-;-;-;+
270;рак;-;-;-;-;+;-;-;-;-;-
271;рябчик;+;-;-;-;-;-;-;-;-;-
272;редька;-;-;-;-;-;-;-;-;-;+
273;виноград;-;-;-;-;-;-;-;-;-;+
274;комба;-;-;-;-;-;-;-;-;-;+
275;карбонад;+;-;-;-;-;-;-;+;-;-
276;краб;-;-;-;-;+;-;-;-;-;-
277;пылец;-;-;-;-;-;-;-;-;-;+
278;проростка;-;-;+;-;-;-;-;-;-;+
279;ананас;-;-;-;-;-;-;-;-;-;+
