id;name;weight;lemmawordid;dishid
512;Сельдерей черешковый;10;50;62
513;Морковь;120;3;62
514;Помидоры;140;5;62
515;Фасоль зерно;190;42;62
516;Вода;800;7;62
517;Белый гриб маринованный;400;74;63
518;Картофель;250;2;63
519;Морковь;80;3;63
520;Лук зеленый;100;4;63
521;Огурец грунтовый;200;19;63
522;Сметана 20,0% жирности;150;80;63
523;Яйцо куриное;100;26;63
524;Горчица столовая;20;94;63
525;Укроп и другие пряные травы;30;14;63
526;Сахар-песок;10;52;63
527;Соль поваренная пищевая;5;48;63
528;Редис;100;77;63
529;Квас хлебный;1500;95;63
530;Вода;1000;7;64
531;Картофель;260;2;64
532;Шампиньоны;380;0;64
533;Лук репчатый;60;4;64
534;Масло подсолнечное;15;8;64
535;Яйцо куриное;50;26;65
536;Мука пшеничная;100;29;65
537;Морковь;100;3;65
538;Лук репчатый;106;4;65
539;Курица тушка;410;15;65
540;Вода;2000;7;65
541;Шпинат;200;96;66
542;Щавель;200;89;66
543;Квас хлебный;2000;95;66
544;Сок лимонный;30;40;66
545;Огурец грунтовый;150;19;66
546;Хрен;20;97;66
547;Укроп и другие пряные травы;50;14;66
548;Окунь горячего копчения;200;98;66
549;Йогурт 6,0%;120;99;67
550;Огурец грунтовый;80;19;67
551;Масло оливковое;5;8;67
552;Чеснок;4;11;67
553;Соль поваренная пищевая;2;48;67
554;Перец черный молотый;2;21;67
555;Вода;100;7;67
556;Соль поваренная пищевая;10;48;68
557;Соевый соус;60;88;68
558;Перец черный молотый;5;21;68
559;Лапша рисовая;400;100;68
560;Капуста пекинская;300;10;68
561;Укроп обыкновенный;50;14;68
562;Лук зеленый;50;4;68
563;Куриный бульон;1000;47;68
564;Утка;400;101;68
565;Кунжут-семя;30;102;68
566;Кабачок;250;1;69
567;Лук-порей;150;4;69
568;Сыр Almette сливочный;100;31;69
569;Масло сливочное 72%;20;8;69
570;Молоко 2,5%;250;30;69
571;Соль поваренная пищевая;5;48;69
572;Перец черный молотый;3;21;69
573;Морковь;150;3;70
574;Лук репчатый;100;4;70
575;Вода;2000;7;70
576;Кабачок;500;1;70
577;Капуста белокочанная;200;10;70
578;Картофель;400;2;70
579;Молоко 3,2%;100;30;70
580;Сыр плавленный;220;31;70
581;Сметана 15,0% жирности;30;80;71
582;Имбирь корень;10;68;71
583;Кабачок;300;1;71
584;Лук зеленый;30;4;71
585;Петрушка корень;50;6;71
586;Чечевица зерно;30;32;71
587;Укроп и другие пряные травы;30;14;71
588;Вода;400;7;71
589;Соль поваренная пищевая;6;48;71
590;Перец черный молотый;4;21;71
591;Сельдерей черешковый;50;50;71
592;Сельдерей, корень;100;50;71
593;Петрушка;6;6;72
594;Морковь;75;3;72
595;Укроп обыкновенный;6;14;72
596;Курица филе, без кожи;1000;15;72
597;Вода;1500;7;72
598;Лук репчатый;40;4;72
599;Соль поваренная пищевая;2;48;72
600;Морковь;75;3;73
601;Картофель;400;2;73
602;Капуста квашеная с морковью;200;10;73
603;Вода;1500;7;73
604;Крупа перловая;200;20;73
605;Лук репчатый;75;4;73
606;Масло сливочное 72,5%;100;8;73
607;Сок томатный;200;40;73
608;Чеснок;10;11;73
609;Укроп обыкновенный;6;14;73
610;Петрушка;6;6;73
611;Перец черный молотый;2;21;73
612;Соль поваренная пищевая;2;48;73
613;Соль поваренная пищевая;3;48;74
614;Укроп обыкновенный;5;14;74
615;Лук зеленый;6;4;74
616;Лук репчатый;100;4;74
617;Картофель;400;2;74
618;Филе индейки, сырое;200;93;74
619;Вода;1500;7;74
